FixtureId	InningId	InningNumber	OverNumber	Id	InningOverId	BattingPlayerId	NonStrikeBattingPlayerId	BallNumber	BowlerPlayerId	ShotAngle	ShotMagnitude	Position	RunsScored	IsWicket	DismissalTypeId	DismissalPlayerId	IsWide	IsNoBall	IsByes	IsLegByes	LengthTypeId	LineTypeId	BallDateTime	IsAirControlled	IsAppeal	AppealDismissalTypeId	BattingConnectionId	BattingFeetId	BattingShotTypeId	BowlingDetailId	BowlingFromId	BowlingTypeId	BowlingHandId	BattingHandId	DecisionOfficialId	IsFreeHit	IsNewBall	IsPowerPlay	IsBattingPowerPlay	IsFloodLit	IsReferred	OutcomeId	ReferralOutcomeId	TeamRuns	CreateFeedId	UpdateFeedId	SitecoreId	OptaId	RunsByes	RunsConceded	RunsWide	RunsLegByes	NoBallsCount	FieldingPosition	NoBallReasonId	IsBoundry	IsAirNotControlled	IsDelete
			1	1555910	326859	374	1156	1	661	90	48		0	0			1	0	0	0	5	0	10:31:15 PM	0	0	2	25	0	9	0	1	1	1	1	243	0	1	1	0	0	0	0	0	0	7728271	7728273		111543009	0	1	1	0	0	Wicketkeeper	
	10546	1	1	1555911	326859	374	1156	1	661	0	0		0	1	3	374	0	0	0	0	3	0	10:31:40 AM	0	0	2	2	0	13	0	1	1	1	1	243	0	0	1	0	0	0	1	0	0	7728274			111543011	0	0	0	0	0		0	0	0	0
9606	10546	1	1	1555914	326859	1146	1156	2	661	0	0		0	1	3	1146	0	0	0	0	5	0	10:33:12 AM	0	0	2	2	0	10	0	1	1	1	1	243	0	0	1	0	0	0	1	0	0	7728287			111543017	0	0	0	0	0		0	0	0	0
9606	10546	1	1	1555918	326859	1047	1156	3	661	270	40		0	0			0	0	0	0	5	0	10:34:54 AM	0	0	2	23	0	12	0	1	1	1	2	475	0	0	1	0	0	0	0	0	0	7728301			111543025	0	0	0	0	0	Bowler	0	0	0	0
9606	10546	1	1	1555919	326859	1047	1156	4	661	337	73		0	0			0	0	0	0	5	0	10:35:19 AM	0	0	2	23	0	10	0	1	1	1	2	475	0	0	1	0	0	0	0	0	0	7728303			111543027	0	0	0	0	0	Cover	0	0	0	0
9606	10546	1	1	1555921	326859	1047	1156	5	661	323	91		0	0			0	0	0	0	5	0	10:35:49 AM	0	0	2	23	0	14	0	1	1	1	2	475	0	0	1	0	0	0	0	0	0	7728309			111543031	0	0	0	0	0	Extra Cover	0	0	0	0
9606	10546	1	1	1555923	326859	1047	1156	6	661	90	48		0	0			1	0	0	0	5	0	10:36:13 AM	0	0	2	25	0	9	0	1	1	1	2	475	0	0	1	0	0	0	0	0	0	7728315			111543035	0	1	1	0	0	Wicketkeeper	0	0	0	0
9606	10546	1	1	1555924	326859	1047	1156	6	661	90	48		0	0			0	0	0	0	5	0	10:36:37 AM	0	0	2	2	0	10	0	1	1	1	2	475	0	0	1	0	0	0	0	0	0	7728318			111543037	0	0	0	0	0	Wicketkeeper	0	0	0	0
9606	10546	1	2	1555927	326862	1156	1047	1	3806	90	48		0	0			0	0	0	0	5	0	10:38:01 AM	0	0	2	20	0	23	0	1	1	1	1	243	0	0	1	0	0	0	0	0	0	7728334	7728338		111543043	0	0	0	0	0	Wicketkeeper	0	0	0	0
9606	10546	1	2	1555930	326862	1156	1047	2	3806	90	48		0	0			1	0	0	0	5	0	10:38:29 AM	0	0	2	20	0	23	0	1	1	1	1	243	0	0	1	0	0	0	0	0	0	7728339			111543047	0	1	1	0	0	Wicketkeeper	0	0	0	0
9606	10546	1	2	1555933	326862	1156	1047	2	3806	14	104		0	0			0	0	0	1	5	0	10:40:14 AM	0	0	2	12	0	13	0	1	1	1	1	243	0	0	1	0	0	0	0	0	0	7728347			111543055	0	0	0	1	0	Backward Square Leg	0	0	0	0
